Código Produto;Descrição Produto;Descrição Bem;Data Compra;Número Único Nota;Número Nota;Código Patrimônio;Local;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=1;2024-06-28;2087252;722867;1;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=2;2024-06-28;2087252;722867;2;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=3;2024-06-28;2087252;722867;3;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=4;2024-06-28;2087252;722867;4;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=5;2024-06-28;2087252;722867;5;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=6;2024-06-28;2087252;722867;6;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=7;2024-06-28;2087252;722867;7;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=8;2024-06-28;2087252;722867;8;;;;;;;;;;
6066;MONITOR LG 21.5 LED FULL HD;MONITORAOC 21_5=9;2024-06-28;2087252;722867;9;;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=10;2024-04-08;2028905;6194077;10;RH;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=11;2024-04-08;2028905;6194077;11;RH;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=12;2024-04-08;2028905;6194077;12;COMPRAS;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=13;2024-04-08;2028905;6194077;13;QUALIDADE;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=14;2024-04-08;2028905;6194077;14;ADM;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=15;2024-04-08;2028905;6194077;15;FINANCEIRO;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=16;2024-04-08;2028905;6194077;16;FINANCEIRO;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=17;2024-04-08;2028905;6194077;17;FINANCEIRO;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=18;2024-04-08;2028905;6194077;18;PRODUÇÃO;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=19;2024-04-08;2028905;6194077;19;VENDAS;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=20;2024-04-08;2028905;6194077;20;VENDAS;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=21;2024-04-08;2028905;6194077;21;VENDAS;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=22;2024-04-08;2028905;6194077;22;VENDAS;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=23;2024-04-08;2028905;6194077;23;EXP;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=24;2024-04-08;2028905;6194077;24;EXP;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=25;2024-04-08;2028905;6194077;25;CRISTO REI;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=26;2024-04-08;2028905;6194077;26;CRISTO REI;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=27;2024-04-08;2028905;6194077;27;CRISTO REI;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=28;2024-04-08;2028905;6194077;28;ALZIRA;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=29;2024-04-08;2028905;6194077;29;ALZIRA;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=30;2024-04-08;2028905;6194077;30;IMPERIAL;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=31;2024-04-08;2028905;6194077;31;IMPERIAL - BAIXA INCÊNDIO;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=32;2024-04-08;2028905;6194077;32;EMBALAGEM;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=33;2024-04-08;2028905;6194077;33;EMBALAGEM;;;;;;;;;
6725;MICROCOMPUTADOR DELL OPTIPLEX 7010;OPTIPLEX7010=34;2024-04-08;2028905;6194077;34;EMBALAGEM;;;;;;;;;
20192;MDREP V3 IP BARRAS BIOM1000 TEMPL.;RELOGIO DE PONTO=RELOGIO DE PONTO;2011-03-15;8338;25156;;;;;;;;;;;
6387;MONITOR SAMSUNG 22 LED – FULL HD;SAMSUNG22=35;2023-06-30;1809116;18039584;35;RH;;;;;;;;;
